03/11/2025 13:42:04
Time, True Strain, True Stress [MPa], True Strainrate [1/s], Unc True Strain, Unc True Stress [MPa], Adiabatic Temp [C]
5.70000e-05,2.55319e-02,2.12478e+02,3.88249e+03,6.11960e-03,6.74079e+00,1.26105e+02
5.75000e-05,2.75777e-02,2.10447e+02,4.15144e+03,6.13820e-03,6.67711e+00,1.26249e+02
5.80000e-05,2.94981e-02,2.13241e+02,4.06420e+03,6.15773e-03,6.76655e+00,1.26385e+02
5.85000e-05,3.15925e-02,2.07690e+02,4.20017e+03,6.17981e-03,6.59130e+00,1.26530e+02
5.90000e-05,3.35727e-02,2.08866e+02,4.15417e+03,6.20071e-03,6.62949e+00,1.26668e+02
5.95000e-05,3.54671e-02,2.13879e+02,4.15875e+03,6.22513e-03,6.78960e+00,1.26804e+02
6.00000e-05,3.73334e-02,2.21728e+02,4.26051e+03,6.25396e-03,7.04003e+00,1.26942e+02
6.05000e-05,3.92254e-02,2.21630e+02,4.16057e+03,6.28761e-03,7.03840e+00,1.27081e+02
6.10000e-05,4.11466e-02,2.23101e+02,4.28535e+03,6.32276e-03,7.08666e+00,1.27224e+02
6.15000e-05,4.30742e-02,2.21410e+02,4.22885e+03,6.35936e-03,7.03456e+00,1.27367e+02
6.20000e-05,4.50075e-02,2.24440e+02,4.39467e+03,6.39707e-03,7.13254e+00,1.27512e+02
6.25000e-05,4.67377e-02,2.31913e+02,4.19526e+03,6.43818e-03,7.37196e+00,1.27646e+02
6.30000e-05,4.85920e-02,2.35875e+02,4.39317e+03,6.48324e-03,7.50006e+00,1.27791e+02
6.35000e-05,5.04037e-02,2.38271e+02,4.29789e+03,6.53024e-03,7.57852e+00,1.27935e+02
6.40000e-05,5.23331e-02,2.37186e+02,4.39027e+03,6.57564e-03,7.54625e+00,1.28088e+02
6.45000e-05,5.39938e-02,2.53333e+02,4.34209e+03,6.61805e-03,8.06219e+00,1.28229e+02
6.50000e-05,5.59093e-02,2.52532e+02,4.42140e+03,6.66652e-03,8.03926e+00,1.28390e+02
6.55000e-05,5.77826e-02,2.58591e+02,4.40084e+03,6.70629e-03,8.23431e+00,1.28552e+02
6.60000e-05,6.00975e-02,2.41239e+02,4.54016e+03,6.74648e-03,7.68381e+00,1.28738e+02
6.65000e-05,6.20049e-02,2.50693e+02,4.44169e+03,6.77872e-03,7.98664e+00,1.28897e+02
6.70000e-05,6.37476e-02,2.69411e+02,4.48454e+03,6.81537e-03,8.58510e+00,1.29054e+02
6.75000e-05,6.60218e-02,2.52770e+02,4.50016e+03,6.85706e-03,8.05706e+00,1.29246e+02
6.80000e-05,6.77664e-02,2.70177e+02,4.35082e+03,6.88772e-03,8.61370e+00,1.29403e+02
6.85000e-05,6.98856e-02,2.66232e+02,4.53727e+03,6.92623e-03,8.49015e+00,1.29591e+02
6.90000e-05,7.18611e-02,2.67546e+02,4.36458e+03,6.96109e-03,8.53406e+00,1.29768e+02
6.95000e-05,7.39150e-02,2.69133e+02,4.49765e+03,6.99457e-03,8.58666e+00,1.29952e+02
7.00000e-05,7.59305e-02,2.71643e+02,4.36530e+03,7.02277e-03,8.66843e+00,1.30135e+02
7.05000e-05,7.80415e-02,2.73207e+02,4.48679e+03,7.04923e-03,8.71993e+00,1.30327e+02
7.10000e-05,8.00296e-02,2.77836e+02,4.33314e+03,7.07469e-03,8.86925e+00,1.30511e+02
7.15000e-05,8.24157e-02,2.65035e+02,4.54360e+03,7.10053e-03,8.46213e+00,1.30722e+02
7.20000e-05,8.44063e-02,2.74202e+02,4.44102e+03,7.12359e-03,8.75621e+00,1.30904e+02
7.25000e-05,8.64286e-02,2.77876e+02,4.42999e+03,7.15282e-03,8.87536e+00,1.31092e+02
7.30000e-05,8.86820e-02,2.72726e+02,4.63858e+03,7.18524e-03,8.71285e+00,1.31297e+02
7.35000e-05,9.05172e-02,2.83360e+02,4.32337e+03,7.21597e-03,9.05454e+00,1.31470e+02
7.40000e-05,9.26550e-02,2.85756e+02,4.73208e+03,7.25276e-03,9.13349e+00,1.31674e+02
7.45000e-05,9.46457e-02,2.87289e+02,4.42686e+03,7.28959e-03,9.18490e+00,1.31865e+02
7.50000e-05,9.67497e-02,2.86980e+02,4.58616e+03,7.32680e-03,9.17745e+00,1.32067e+02
7.55000e-05,9.88253e-02,2.91461e+02,4.63484e+03,7.36087e-03,9.32302e+00,1.32268e+02
7.60000e-05,1.00939e-01,2.89655e+02,4.50595e+03,7.39523e-03,9.26755e+00,1.32473e+02
7.65000e-05,1.02974e-01,2.98271e+02,4.65481e+03,7.42697e-03,9.54541e+00,1.32675e+02
7.70000e-05,1.05230e-01,2.91379e+02,4.54784e+03,7.45791e-03,9.32694e+00,1.32894e+02
7.75000e-05,1.07304e-01,2.97574e+02,4.56011e+03,7.48436e-03,9.52708e+00,1.33100e+02
7.80000e-05,1.09456e-01,3.00185e+02,4.62573e+03,7.51294e-03,9.61269e+00,1.33316e+02
7.85000e-05,1.11695e-01,2.95980e+02,4.51999e+03,7.53910e-03,9.47985e+00,1.33537e+02
7.90000e-05,1.13915e-01,2.96209e+02,4.55911e+03,7.56096e-03,9.48873e+00,1.33756e+02
7.95000e-05,1.16146e-01,3.00240e+02,4.62477e+03,7.57781e-03,9.61905e+00,1.33980e+02
8.00000e-05,1.18333e-01,3.02798e+02,4.50233e+03,7.59529e-03,9.70225e+00,1.34201e+02
8.05000e-05,1.20784e-01,2.95053e+02,4.68415e+03,7.61476e-03,9.45543e+00,1.34442e+02
8.10000e-05,1.23059e-01,2.95260e+02,4.55157e+03,7.63016e-03,9.46317e+00,1.34666e+02
8.15000e-05,1.25686e-01,2.79956e+02,4.75240e+03,7.64964e-03,8.97398e+00,1.34912e+02
